energy,dwell,correlation,p_value,abs_correlation,significant
Energy1 (1-modal),Dwell1 (future-sim),0.14558740250691357,0.02209755937562839,0.14558740250691357,True
Energy1 (1-modal),Dwell2 (velocity),0.1462420118644833,0.021499870664901947,0.1462420118644833,True
Energy1 (1-modal),Dwell3 (stability),-0.1462420118644833,0.021499870664901947,0.1462420118644833,True
Energy2 (modal),Dwell1 (future-sim),-0.14558740250691354,0.02209755937562839,0.14558740250691354,True
Energy2 (modal),Dwell2 (velocity),-0.1462420118644832,0.02149987066490228,0.1462420118644832,True
Energy2 (modal),Dwell3 (stability),0.14624201186448324,0.02149987066490228,0.14624201186448324,True
Energy3 (entropy),Dwell1 (future-sim),-0.16196971165300117,0.01078781700751692,0.16196971165300117,True
Energy3 (entropy),Dwell2 (velocity),-0.11271975921622793,0.07703026858045955,0.11271975921622793,False
Energy3 (entropy),Dwell3 (stability),0.11271975921622793,0.07703026858045955,0.11271975921622793,False
Energy4 (strength),Dwell1 (future-sim),0.04045051509266587,0.5268877556501176,0.04045051509266587,False
Energy4 (strength),Dwell2 (velocity),0.04754083076513567,0.4570014345036819,0.04754083076513567,False
Energy4 (strength),Dwell3 (stability),-0.04754083076513567,0.4570014345036819,0.04754083076513567,False
